surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,8.0,plugin,8,1,192,4.0515365730402785e-05,0.0021201305965775786,0.9453021790352459,0.37907395710133035,0.05650288706098039,0.1079151469120793,4.0592941628355435e-05
strong,8.0,shrunk,8,1,192,4.0515365730402785e-05,0.0021201305965775786,0.9453021790352459,0.37907395710133035,0.05650288706098039,0.1079151469120793,nan
strong,8.0,smoothed,8,1,192,0.00012361203593590624,0.0040008359323535,0.9345387673668086,0.3662749320994363,0.06804333275261178,0.10795436615218779,nan
strong,8.0,uniform,8,1,192,0.05033121561138492,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,8.0,persistence,8,1,192,0.05961363348562374,0.09983239226403162,0.6566993895572418,0.37407544526960185,0.41795156515767756,0.1084544360604378,nan
strong,8.0,learned,8,1,192,0.0002724874460664298,0.005818369772633748,0.9416187513925142,0.378986503791564,0.06033144481008638,0.10790970967719053,nan
strong,8.0,learned_robust,8,1,192,0.0002708325137782709,0.005754039522999298,0.9430444007935875,0.3805728947386788,0.058780653740703646,0.10790287108269873,nan
strong,8.0,plugin,8,2,192,4.0515365730402785e-05,0.0021201305965775786,0.9453021790352459,0.37907395710133035,0.05650288706098039,0.1079151469120793,4.0592941628355435e-05
strong,8.0,shrunk,8,2,192,4.0515365730402785e-05,0.0021201305965775786,0.9453021790352459,0.37907395710133035,0.05650288706098039,0.1079151469120793,nan
strong,8.0,smoothed,8,2,192,0.00012361203593590624,0.0040008359323535,0.9345387673668086,0.3662749320994363,0.06804333275261178,0.10795436615218779,nan
strong,8.0,uniform,8,2,192,0.05033121561138492,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,8.0,persistence,8,2,192,0.05961363348562374,0.09983239226403162,0.6566993895572418,0.37407544526960185,0.41795156515767756,0.1084544360604378,nan
strong,8.0,learned,8,2,192,0.00021193611854857948,0.004833572680612469,0.9431934527422148,0.3788568713908726,0.05880253813972844,0.10791545112255385,nan
strong,8.0,learned_robust,8,2,192,0.00020537801963987622,0.004713741126230007,0.9455243150761053,0.3817116408467367,0.05627364390991368,0.1079038767744479,nan
weak,0.0,plugin,8,0,192,0.001135133637954231,nan,0.0,16.0,16.0,0.12697559787944174,nan
weak,0.0,shrunk,8,0,192,0.001135133637954231,nan,0.0,16.0,16.0,0.12697559787944174,nan
weak,0.0,smoothed,8,0,192,0.0008899500339369735,nan,0.0,16.0,16.0,0.1270124194230124,nan
weak,0.0,uniform,8,0,192,0.15692291364193653,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
weak,0.0,persistence,8,0,192,0.08014889963461083,nan,0.0,16.0,16.0,0.11679895379292848,nan
weak,0.0,learned,8,0,192,0.006380995685577665,nan,1.7866766013266513e-14,15.037077156109499,15.046221745474684,0.12646825569990572,nan
weak,0.0,learned_robust,8,0,192,0.004135661970419987,nan,1.4226788556983275e-18,15.082944318611979,15.086063391627201,0.12671524273664395,nan
weak,0.0,plugin,8,1,192,0.001135133637954231,nan,0.0,16.0,16.0,0.12697559787944174,nan
weak,0.0,shrunk,8,1,192,0.001135133637954231,nan,0.0,16.0,16.0,0.12697559787944174,nan
weak,0.0,smoothed,8,1,192,0.0008899500339369735,nan,0.0,16.0,16.0,0.1270124194230124,nan
weak,0.0,uniform,8,1,192,0.15692291364193653,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
weak,0.0,persistence,8,1,192,0.08014889963461083,nan,0.0,16.0,16.0,0.11679895379292848,nan
weak,0.0,learned,8,1,192,0.0049484969660595545,nan,4.82277089438911e-18,15.23934559803832,15.24528632288731,0.12651285023178357,nan
weak,0.0,learned_robust,8,1,192,0.0029178988659694905,nan,9.90178934810721e-19,15.255038526491424,15.258160990013181,0.1267863916130125,nan
weak,0.0,plugin,8,2,192,0.001135133637954231,nan,0.0,16.0,16.0,0.12697559787944174,nan
weak,0.0,shrunk,8,2,192,0.001135133637954231,nan,0.0,16.0,16.0,0.12697559787944174,nan
weak,0.0,smoothed,8,2,192,0.0008899500339369735,nan,0.0,16.0,16.0,0.1270124194230124,nan
weak,0.0,uniform,8,2,192,0.15692291364193653,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
weak,0.0,persistence,8,2,192,0.08014889963461083,nan,0.0,16.0,16.0,0.11679895379292848,nan
weak,0.0,learned,8,2,192,0.0029897921301598115,nan,2.2627467997288316e-15,14.997485731486782,15.004262848147201,0.12676613235757217,nan
weak,0.0,learned_robust,8,2,192,0.00210903633677036,nan,8.211997853971957e-18,15.031131459580223,15.041396422499966,0.12687325130474691,nan
weak,0.25,plugin,8,0,192,0.0010610092332383636,0.022552173110920438,0.2565970813516875,1.270242904002864,1.6754318208461907,0.11322463203783632,0.0010667966147027096
weak,0.25,shrunk,8,0,192,0.000983855950804708,0.02184138848205186,0.26708728399779685,1.2071182881918163,1.612284721525129,0.1130296383539056,nan
weak,0.25,smoothed,8,0,192,0.0009707358471207206,0.021480692162010744,0.26358998606724704,1.2306675871539459,1.636324425203487,0.11310150465596826,nan
weak,0.25,uniform,8,0,192,0.01745222945600903,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
weak,0.25,persistence,8,0,192,0.020887879126294747,0.09983239226403162,0.2801809339241262,1.410749993467914,1.660623655566808,0.11139221224202255,nan
weak,0.25,learned,8,0,192,0.0009319450007390477,0.020995902284580734,0.24725253022566496,1.2882617802274134,1.6951782143726082,0.11325234093105097,nan
weak,0.25,learned_robust,8,0,192,7.775654366239347e-05,0.006090102361467471,0.26518095702672234,1.228951297547601,1.6346724470943281,0.11308460908452073,nan
