arm,ky,kx,radius,extracted_magnitude,extracted_freq,extracted_sigma,label,exact_magnitude,exact_freq,magnitude_error,freq_error
lambda,-5,2,5.385164807134504,0.9067012329885384,1.3954352756332016e-06,-0.09794228446721708,damped,,,,
lambda,-5,3,5.830951894845301,0.9066889361497776,7.829675645057234e-07,-0.0979558467319412,damped,,,,
lambda,-4,0,4.0,0.9064402156087339,1.5367489167211156e-05,-0.09823020175222492,damped,,,,
lambda,-4,1,4.123105625617661,0.906632183939475,7.78090213277834e-05,-0.09801844150315127,damped,,,,
lambda,-4,2,4.47213595499958,0.9067668665438084,2.118652041901237e-05,-0.09786989989611203,damped,,,,
lambda,-4,3,5.0,0.906901180360408,1.62429526230174e-05,-0.0977217869963183,damped,,,,
lambda,-4,4,5.656854249492381,0.9066985248568633,4.5430229785843745e-06,-0.0979452712677429,damped,,,,
lambda,-3,0,3.0,0.9058540438921229,7.380981527677399e-06,-0.09887708537388708,damped,,,,
lambda,-3,1,3.1622776601683795,0.9055322769760854,7.117444112395092e-05,-0.09923235682064023,damped,,,,
lambda,-3,2,3.605551275463989,0.905887085392845,5.923679472349548e-05,-0.09884061051531957,damped,,,,
lambda,-3,3,4.242640687119285,0.9066682018340393,0.00014927529522405485,-0.09797871516232916,damped,,,,
lambda,-3,4,5.0,0.9065335928101601,2.7573768961867524e-05,-0.09812719176821394,damped,,,,
lambda,-3,5,5.830951894845301,0.9066621415844371,1.056501392079249e-05,-0.09798539927217619,damped,,,,
lambda,-2,0,2.0,0.906609397065451,6.79871881691727e-06,-0.0980435753565373,damped,,,,
lambda,-2,1,2.23606797749979,0.9045067884334218,0.0004301754503425846,-0.10036546899703849,damped,,,,
lambda,-2,2,2.8284271247461903,0.9034419726764293,0.0002868927907500145,-0.10154339605229332,damped,,,,
lambda,-2,3,3.605551275463989,0.9045991065491167,9.524951717310855e-05,-0.1002634096139686,damped,,,,
lambda,-2,4,4.47213595499958,0.9066148615040109,1.648078992270851e-05,-0.09803754803969089,damped,,,,
lambda,-2,5,5.385164807134504,0.9064877474570686,2.143021833140035e-05,-0.09817776519731047,damped,,,,
lambda,-1,0,1.0,0.9090809997717971,1.4026448359820619e-05,-0.0953210801147562,damped,,,,
lambda,-1,1,1.4142135623730951,0.9080354997788374,0.00048019683397234106,-0.09647180447237039,damped,,,,
lambda,-1,2,2.23606797749979,0.9038756831347442,0.000468889557712386,-0.10106344670277435,damped,,,,
lambda,-1,3,3.1622776601683795,0.9032498460516633,0.000188434414350644,-0.10175607939263806,damped,,,,
lambda,-1,4,4.123105625617661,0.9064369386632586,2.905513304387181e-06,-0.09823381693979302,damped,,,,
lambda,-1,5,5.0990195135927845,0.9066091366950295,6.811520856650162e-06,-0.09804386254797794,damped,,,,
lambda,0,0,0.0,0.9093347146869204,3.076490626808482e-19,-0.09504202960419109,damped,,,,
lambda,0,1,1.0,0.9088668504343543,0.00026774312904593873,-0.09555667470390684,damped,,,,
lambda,0,2,2.0,0.9070279679126467,0.00042539509144007943,-0.09758199371655774,damped,,,,
lambda,0,3,3.0,0.9053285621842442,0.00032075483221079336,-0.09945734903240516,damped,,,,
lambda,0,4,4.0,0.9064385410654882,6.70561165072021e-05,-0.09823204913803554,damped,,,,
lambda,0,5,5.0,0.90681622486007,1.3973902659292495e-05,-0.09781546807381764,damped,,,,
lambda,0,6,6.0,0.9063831895017691,6.210285657737463e-05,-0.0982931158858607,damped,,,,
lambda,1,0,1.0,0.9090729202608998,1.4306580063463193e-05,-0.09532996771311444,damped,,,,
lambda,1,1,1.4142135623730951,0.9080375699113901,0.0005440744070511808,-0.09646952468243543,damped,,,,
lambda,1,2,2.23606797749979,0.9037460763380273,0.0004348324447287588,-0.10120684705327337,damped,,,,
lambda,1,3,3.1622776601683795,0.903184440466121,9.675662582303483e-05,-0.10182849341407131,damped,,,,
lambda,1,4,4.123105625617661,0.9062477626430184,2.319450856810348e-06,-0.09844254162400383,damped,,,,
lambda,1,5,5.0990195135927845,0.9067384736974401,2.9044394658482772e-05,-0.09790121256527339,damped,,,,
lambda,2,0,2.0,0.9066091625676559,8.889908677283682e-06,-0.09804383401018259,damped,,,,
lambda,2,1,2.23606797749979,0.9044149171119139,0.00028588913108098775,-0.10046704478255232,damped,,,,
lambda,2,2,2.8284271247461903,0.9046264306010077,0.00018505538066784975,-0.10023320436721302,damped,,,,
lambda,2,3,3.605551275463989,0.905715596366355,0.00010241642002572612,-0.09902993351503571,damped,,,,
lambda,2,4,4.47213595499958,0.906711708120322,1.721234197722343e-05,-0.09793073152023385,damped,,,,
lambda,2,5,5.385164807134504,0.9066513528134885,7.98215955101195e-06,-0.09799729878208671,damped,,,,
